epoch,train_loss,train_acc,val_loss,val_acc
1,0.9430685389729986,0.5973641553315949,0.8989119121343783,0.6495049504950495
2,0.7700562950159885,0.6791176263302559,0.7456949906774086,0.7485148514851485
3,0.6374153877440513,0.7523433645781944,0.6125632685009795,0.803960396039604
4,0.5800920651523429,0.7735569807597434,0.5493165336032905,0.7960396039603961
5,0.5699846440275995,0.7753893861441962,0.4918894758318911,0.8356435643564356
6,0.5043824694568153,0.8173232785960955,0.5596568629293158,0.7762376237623763
7,0.43231162206005347,0.835929240961308,0.4174726356374155,0.8514851485148515
8,0.41798169854512485,0.854394249066178,0.4681091800184533,0.8316831683168316
9,0.44369231358845784,0.834026358446684,0.379858667071503,0.8633663366336634
10,0.35576196703491425,0.869335400662485,0.3952119805435143,0.8277227722772277
