epoch,train_loss,train_acc,val_loss,val_acc
1,0.9940789084965822,0.5490873211642822,0.9483442575624673,0.6158415841584158
2,0.9127487048335555,0.586792585805906,0.8867731462610831,0.6336633663366337
3,0.8578210230004385,0.6122348297977306,0.8605147161106071,0.6039603960396039
4,0.8116636002103238,0.6372542110085277,0.8438367591045871,0.6158415841584158
5,0.7847759872286372,0.6595249841426457,0.8116076127137288,0.6514851485148515
6,0.7741721467720092,0.671012756360561,0.7754436437446293,0.6851485148514852
7,0.686050015701805,0.7087180210021848,0.6932958180361455,0.7287128712871287
8,0.6338823182704342,0.7352878990767496,0.6016193060591669,0.7623762376237624
9,0.5676758017631722,0.7698216928606667,0.59500892398381,0.7584158415841584
10,0.5625052297919352,0.7682007188667277,0.6037519433710835,0.7425742574257426
